,conf,i,j
0,3,2028,2037
1,3,2152,2155
2,8,2609,2639
3,8,3,5
4,8,29,36
5,8,3087,3107
6,8,1596,1628
7,8,1781,1803
8,8,1399,1425
9,8,1545,1573
10,8,1784,1805
11,8,1687,1712
12,8,335,346
13,8,1824,1856
14,8,114,115
15,8,1220,1233
16,8,1960,1988
17,8,2127,2165
18,8,3085,3107
19,8,1641,1680
20,8,1219,1233
21,8,2017,2071
22,8,1570,1596
23,8,1021,1036
24,8,1955,1989
25,8,1635,1667
26,8,1774,1793
27,8,2371,2388
28,8,1404,1425
29,8,3028,3043
30,8,1641,1667
31,8,2,5
32,8,1583,1596
33,8,1994,2017
34,8,101,107
35,8,101,106
36,8,2187,2212
37,8,2649,2658
38,8,2409,2450
39,8,3023,3043
40,8,475,483
41,8,338,346
42,8,473,481
43,8,1647,1658
44,8,1628,1652
45,8,559,560
46,8,554,562
47,8,2639,2661
48,8,2185,2212
49,8,1991,2017
50,8,2251,2273
51,8,1582,1587
52,8,105,107
53,8,2012,2043
54,8,535,538
55,8,635,641
56,8,195,200
57,8,514,522
58,8,2847,2871
59,8,1615,1652
60,8,2212,2253
61,8,1775,1803
62,8,400,405
63,8,336,344
64,8,707,717
65,8,320,322
66,8,2043,2077
67,8,394,400
68,8,1005,1008
69,8,1969,2012
70,8,515,520
71,8,516,520
72,8,507,509
73,8,516,522
74,8,515,522
75,8,514,520
76,8,381,386
77,8,382,386
78,8,382,384
79,8,381,384
80,8,1998,2012
81,8,724,726
82,8,535,541
83,8,1781,1813
84,8,613,621
85,8,281,284
86,8,413,420
87,8,473,483
88,8,522,537
89,8,1628,1632
90,8,1596,1615
91,8,1905,1953
92,8,2257,2296
93,8,286,291
94,8,717,730
95,8,1777,1784
96,8,1028,1036
97,8,2022,2042
98,8,1774,1787
99,8,1084,1092
100,8,1628,1662
101,8,1893,1905
102,8,1532,1537
103,8,522,538
104,8,621,637
105,8,1322,1329
106,8,1953,1958
107,8,2598,2609
108,8,2043,2076
109,8,1803,1824
110,8,1667,1687
111,8,2071,2112
112,8,575,585
113,8,519,535
114,8,1159,1167
115,8,1615,1632
116,8,1182,1203
117,8,2637,2645
118,8,843,862
119,8,522,539
120,8,520,537
121,8,1654,1689
122,8,377,382
123,8,377,381
124,8,520,539
125,8,1524,1537
126,8,2639,2660
127,8,1185,1208
128,8,522,545
129,8,1571,1587
130,8,383,400
131,8,386,400
132,8,380,400
133,8,122,130
134,8,501,515
135,8,501,516
136,8,2253,2264
137,8,319,341
138,8,635,658
139,8,520,545
140,8,501,514
141,8,2614,2649
142,8,520,538
143,8,1687,1700
144,8,1784,1797
145,8,724,750
146,8,512,535
147,8,122,131
148,8,1532,1542
149,8,559,562
150,8,1617,1628
151,8,35,36
152,28,497,501
153,28,498,502
154,33,865,867
155,33,467,468
156,33,856,859
157,33,332,334
158,33,306,308
159,33,463,465
160,33,442,444
161,33,291,292
162,3,1850,1851
163,3,2473,2474
164,3,1655,1656
165,3,1350,1373
166,3,1625,1644
167,3,2276,2295
168,3,2527,2528
169,3,2202,2213
170,3,2352,2366
171,3,2780,2781
172,3,2343,2353
173,3,1252,1263
174,8,1159,1167
175,8,316,342
176,8,1647,1658
177,8,685,706
178,8,785,786
179,8,803,804
180,8,784,786
181,8,293,294
182,8,192,193
183,8,1186,1187
184,8,558,559
185,8,1012,1013
186,8,415,416
187,8,684,685
188,8,854,855
189,8,494,495
190,8,975,976
191,8,613,614
192,8,645,646
193,8,738,739
194,8,843,844
195,8,475,476
196,8,346,347
197,10,2939,2940
198,10,3025,3026
199,12,804,814
200,12,804,813
201,12,863,875
202,12,872,887
203,17,994,1003
204,17,1633,1655
205,17,1400,1401
206,17,1676,1677
207,17,1931,1932
208,17,1266,1267
209,17,1019,1020
210,17,1579,1580
211,17,1246,1247
212,17,1589,1590
213,17,1808,1809
214,17,1509,1510
215,17,1899,1900
216,17,2041,2042
217,17,1269,1270
218,17,1664,1665
219,17,1245,1246
220,17,1256,1257
221,17,1533,1534
222,17,690,702
223,17,794,808
224,17,1302,1314
225,17,752,756
226,17,2068,2076
227,17,2126,2129
228,17,1613,1614
229,17,1590,1608
230,17,1304,1305
231,17,1189,1205
232,17,1530,1541
233,17,1874,1880
234,17,1162,1180
235,17,1558,1573
236,17,1932,1939
237,17,1320,1331
238,17,1771,1776
239,17,1428,1444
240,17,1827,1834
241,17,1478,1488
242,17,1727,1733
243,17,1677,1687
244,17,1602,1611
245,17,1152,1168
246,17,1152,1174
247,17,1833,1838
248,17,1886,1894
249,17,2049,2057
250,17,1648,1657
251,17,1144,1154
252,17,1853,1861
253,17,1401,1410
254,17,971,977
255,17,948,961
256,17,1764,1772
257,17,2208,2209
258,17,1842,1847
259,17,1423,1431
260,17,1462,1476
261,17,969,975
262,17,967,974
263,33,1092,1093
264,33,1092,1094
265,33,181,190
266,33,484,496
267,33,175,186
268,33,969,976
269,33,169,185
270,33,173,185
271,41,3159,3160
272,41,1841,1842
273,41,1821,1822
274,41,2361,2362
275,41,1574,1616
276,41,1347,1348
277,41,2988,2989
278,41,2260,2261
279,41,1820,1834
280,41,1206,1247
281,41,1804,1813
282,41,1604,1643
283,41,1822,1837
284,41,1604,1640
285,41,1855,1872
286,41,3319,3320
287,41,1895,1920
288,41,1854,1870
289,41,1895,1917
290,41,1832,1841
291,41,1805,1822
292,41,1554,1589
293,41,2382,2397
294,41,1911,1929
295,41,1832,1839
296,41,2375,2383
297,41,2375,2385
298,41,2349,2359
299,41,1851,1870
300,41,1421,1462
301,41,1854,1877
302,41,1831,1840
303,41,1897,1917
304,41,1421,1458
305,41,1574,1623
306,41,1544,1568
307,41,2352,2361
308,41,1832,1840
309,41,1462,1509
310,41,1801,1808
311,41,1867,1897
312,41,1568,1616
313,41,1864,1895
314,41,1739,1754
315,41,1362,1421
316,41,1484,1535
317,41,1848,1864
318,41,1814,1833
319,41,1627,1658
320,41,1814,1834
321,41,1572,1627
322,41,1484,1534
323,41,1887,1911
324,41,1886,1911
325,41,1364,1421
326,41,1361,1421
327,41,1831,1841
328,41,1595,1643
329,41,1494,1539
330,41,1544,1574
331,41,1539,1568
332,41,1458,1509
333,41,1206,1257
334,41,1637,1670
335,41,1544,1572
336,41,1851,1877
337,41,1595,1640
338,41,1855,1885
339,41,1498,1539
340,41,1739,1756
341,41,1574,1627
342,41,1736,1756
343,41,1553,1589
344,41,2381,2397
345,41,1640,1670
346,41,1552,1589
347,41,1842,1851
348,41,1595,1637
349,41,1559,1589
350,41,1572,1623
351,41,1736,1754
352,41,1548,1589
353,41,2108,2123
354,42,198,200
355,42,356,358
356,47,940,941
357,47,1403,1404
358,3,2233,2238
359,3,2769,2773
360,3,1491,1498
361,3,254,257
362,3,2704,2712
363,3,1421,1429
364,4,108,109
365,4,123,124
366,4,121,123
367,4,150,152
368,4,150,154
369,4,111,114
370,4,195,197
371,4,272,278
372,4,306,309
373,8,1872,1897
374,8,1357,1382
375,8,1159,1167
376,8,1588,1624
377,8,1647,1658
378,8,522,556
379,8,1050,1068
380,8,2688,2713
381,8,501,538
382,8,501,539
383,10,769,786
384,10,1168,1203
385,10,523,527
386,10,873,888
387,10,398,407
388,10,692,698
389,10,1328,1331
390,10,577,587
391,10,1519,1531
392,10,925,947
393,10,690,692
394,10,1430,1456
395,10,599,610
396,10,523,525
397,10,354,357
398,10,1298,1307
399,10,677,681
400,10,1109,1119
401,10,1864,1880
402,10,1105,1112
403,10,798,801
404,10,782,802
405,10,841,853
406,10,1140,1144
407,10,920,947
408,10,847,861
409,10,1457,1477
410,10,2487,2504
411,10,547,553
412,10,843,856
413,10,1109,1125
414,10,1020,1044
415,10,1020,1045
416,10,650,658
417,10,1109,1128
418,10,1111,1116
419,10,912,921
420,10,724,729
421,10,1320,1338
422,10,176,187
423,10,229,232
424,10,276,283
425,10,684,690
426,10,925,935
427,10,523,530
428,10,1421,1444
429,10,1785,1786
430,12,418,421
431,12,418,420
432,12,420,423
433,12,421,423
434,15,74,75
435,17,300,326
436,17,122,138
437,17,299,326
438,17,509,527
439,17,123,137
440,33,785,795
441,33,777,788
442,33,790,795
443,33,788,793
444,33,198,206
445,33,199,206
446,33,785,788
447,33,788,790
448,33,793,795
449,33,644,649
450,33,287,305
451,33,118,130
452,33,793,808
453,41,1311,1324
454,41,1290,1303
455,41,1609,1625
456,41,1741,1749
457,41,1720,1732
458,41,1725,1726
459,41,1618,1621
460,41,1600,1615
461,41,1683,1695
462,41,1762,1769
463,41,2925,2937
464,41,1725,1729
465,41,1681,1692
466,3,2014,2033
467,3,1628,1644
468,4,469,471
469,4,468,472
470,8,1159,1167
471,8,840,841
472,8,501,538
473,8,2908,2914
474,10,834,852
475,10,1165,1210
476,10,606,615
477,10,1131,1155
478,10,783,812
479,10,1483,1507
480,10,1388,1409
481,12,110,112
482,15,73,74
483,15,74,75
484,17,1902,1908
485,17,1222,1226
486,17,192,208
487,33,476,479
488,33,530,533
489,33,287,305
490,33,524,531
491,41,879,894
492,41,2441,2449
493,41,2441,2451
494,41,2850,2865
495,41,2832,2840
496,41,779,795
497,41,2734,2758
498,41,218,223
499,41,344,352
500,41,2812,2830
501,41,2762,2772
502,41,1339,1360
503,41,1337,1376
504,41,343,353
505,41,2763,2776
506,41,2874,2903
507,41,2963,2981
508,41,358,359
509,41,1017,1028
510,41,1193,1222
511,41,780,795
512,41,1246,1259
513,41,1196,1213
514,41,1144,1161
515,41,1143,1161
516,3,2293,2301
517,4,24,29
518,4,322,328
519,8,1159,1167
520,8,393,415
521,8,2072,2105
522,8,1804,1829
523,8,213,230
524,8,1092,1121
525,8,1896,1897
526,10,1564,1566
527,10,1388,1409
528,10,1623,1655
529,10,78,88
530,10,1329,1369
531,10,3023,3025
532,10,1607,1642
533,11,139,144
534,15,74,75
535,17,1108,1133
536,33,287,305
537,33,493,499
538,41,1686,1688
539,41,1704,1729
540,41,1592,1620
541,41,1636,1650
542,41,2393,2395
543,41,1128,1169
544,41,1990,2005
545,41,2409,2415
546,41,1034,1075
547,41,321,334
548,41,2759,2770
549,41,995,1026
550,41,1081,1115
551,41,1070,1123
552,41,2079,2096
553,41,2080,2096
554,41,2098,2114
555,41,2128,2141
556,41,381,406
557,41,3055,3068
558,41,982,1027
559,3,58,64
560,3,57,64
561,3,57,65
562,3,58,65
563,3,2485,2507
564,4,267,283
565,8,1159,1167
566,8,1647,1658
567,8,501,538
568,8,798,804
569,8,19,21
570,8,2918,2938
571,8,95,100
572,8,501,513
573,8,985,992
574,10,1388,1409
575,10,196,204
576,10,1359,1402
577,10,920,939
578,12,710,711
579,15,74,75
580,18,131,132
581,25,397,401
582,33,287,305
583,40,50,51
584,40,168,169
585,40,101,104
586,41,2858,2869
587,41,2861,2869
588,41,2861,2887
589,41,2858,2887
590,41,2858,2888
591,41,2861,2888
592,41,1286,1363
593,41,1145,1190
594,41,1143,1156
595,41,2155,2168
596,41,2886,2930
597,41,1144,1156
598,41,1263,1285
599,41,1046,1071
600,41,1282,1383
601,41,1906,1915
602,41,1226,1321
603,41,1412,1515
604,41,1152,1231
605,41,1684,1696
606,3,1899,1929
607,4,355,363
608,4,355,364
609,4,22,29
610,8,1159,1167
611,8,981,986
612,8,931,953
613,8,917,951
614,8,999,1008
615,8,2918,2947
616,8,1047,1064
617,8,627,683
618,8,750,787
619,8,501,538
620,8,2406,2463
621,8,1198,1233
622,8,955,995
623,8,3056,3107
624,8,457,501
625,8,92,100
626,8,956,1000
627,8,2035,2159
628,8,440,454
629,8,304,332
630,8,304,333
631,8,1055,1073
632,8,1272,1319
633,8,937,983
634,8,1918,2018
635,8,1745,1836
636,8,2922,2972
637,8,655,710
638,10,1388,1409
639,10,1398,1425
640,10,568,594
641,10,78,88
642,10,2259,2282
643,10,821,869
644,10,2435,2465
645,10,978,1025
646,12,704,711
647,12,706,711
648,12,1116,1121
649,12,706,721
650,12,1110,1121
651,15,74,75
652,17,1716,1730
653,17,699,720
654,17,673,704
655,18,35,37
656,18,175,178
657,22,119,121
658,22,16,17
659,25,84,87
660,28,504,508
661,28,503,507
662,33,287,305
663,40,234,235
664,41,344,351
665,41,389,419
666,41,389,420
667,41,1609,1622
668,41,827,856
669,41,958,990
670,41,857,892
671,41,214,224
672,41,1795,1807
673,41,723,740
674,41,786,811
675,41,747,772
676,41,407,430
677,3,1632,1654
678,3,1474,1504
679,3,1163,1195
680,3,2715,2722
681,3,2229,2233
682,7,54,57
683,8,1159,1167
684,8,827,850
685,8,908,925
686,8,949,970
687,8,872,878
688,8,914,929
689,8,827,831
690,8,501,538
691,8,1227,1249
692,8,1439,1483
693,8,141,152
694,8,501,539
695,8,3078,3130
696,8,804,850
697,8,312,335
698,8,826,871
699,8,648,723
700,8,1221,1264
701,8,1039,1059
702,8,893,922
703,8,2873,2914
704,8,1322,1393
705,8,1920,2038
706,8,1310,1400
707,8,1040,1059
708,8,479,518
709,8,928,969
710,8,1105,1144
711,8,2747,2795
712,8,2450,2567
713,8,274,300
714,9,51,56
715,9,49,54
716,10,1388,1409
717,10,629,642
718,10,1398,1425
719,10,78,88
720,10,1357,1402
721,10,977,1017
722,10,983,1036
723,10,733,774
724,11,130,132
725,11,116,123
726,12,563,573
727,12,851,882
728,12,845,874
729,12,817,831
730,12,432,455
731,12,782,819
732,12,712,735
733,12,1043,1071
734,13,92,94
735,15,74,75
736,17,1148,1173
737,17,1141,1156
738,17,1140,1156
739,17,1114,1134
740,17,800,812
741,17,1849,1872
742,17,1141,1167
743,17,1454,1476
744,17,1145,1207
745,22,119,121
746,25,170,176
747,25,191,193
748,28,44,46
749,28,152,155
750,33,287,305
751,40,234,235
752,41,2155,2168
753,41,2892,2930
754,41,2781,2816
755,41,2841,2873
756,41,2783,2821
757,41,2931,2964
758,41,2844,2882
759,41,169,180
760,41,1192,1299
761,41,175,194
762,41,1859,1876
763,4,303,320
764,8,1159,1167
765,8,3386,3391
766,8,1635,1709
767,8,2438,2462
768,8,385,450
769,8,1824,1919
770,8,1978,2052
771,8,716,764
772,8,1841,1899
773,10,1388,1409
774,10,78,88
775,10,1398,1425
776,10,977,1017
777,15,74,75
778,17,1560,1577
779,17,1564,1568
780,17,2283,2288
781,17,1852,1873
782,17,1633,1664
783,17,1823,1825
784,17,50,60
785,17,2283,2290
786,18,76,79
787,18,12,15
788,22,119,121
789,33,287,305
790,40,234,235
791,41,2368,2377
792,41,2369,2377
793,41,1410,1517
794,41,2155,2168
795,41,1197,1348
796,41,1236,1394
797,41,2520,2565
798,41,739,809
799,41,1244,1413
800,41,1245,1413
801,41,1340,1521
802,41,1188,1295
803,41,784,815
804,41,1222,1392
805,41,708,760
806,41,1402,1558
807,41,1244,1386
808,41,2545,2587
809,41,707,760
810,41,2511,2562
811,41,1360,1541
812,41,738,809
813,41,1545,1632
814,41,516,550
815,41,1485,1549
816,41,480,509
817,41,1629,1697
818,41,2149,2180
819,41,2547,2587
820,41,1545,1639
821,41,437,446
822,41,401,433
823,41,1538,1632
824,41,703,754
825,41,2520,2562
826,41,477,511
827,41,1340,1505
828,41,1047,1119
829,41,1047,1118
830,41,1043,1119
831,41,1236,1386
832,41,1200,1348
833,41,1263,1425
834,41,1376,1541
835,41,1343,1439
836,41,1236,1389
837,3,55,65
838,3,2493,2507
839,3,212,223
840,4,266,284
841,7,54,57
842,7,90,91
843,7,89,91
844,8,1159,1167
845,8,501,539
846,8,1840,1899
847,8,1387,1433
848,8,1120,1139
849,8,1570,1709
850,8,470,531
851,8,407,458
852,8,197,225
853,8,1098,1127
854,8,479,532
855,8,1367,1459
856,8,385,450
857,8,641,647
858,8,1807,1891
859,9,48,52
860,10,1388,1409
861,10,1398,1425
862,10,78,88
863,10,1812,1869
864,10,2341,2367
865,10,469,489
866,10,633,666
867,10,901,954
868,10,2221,2257
869,10,673,714
870,10,1770,1807
871,10,2394,2433
872,10,857,915
873,12,828,845
874,13,105,106
875,13,87,90
876,15,74,75
877,18,41,44
878,21,95,97
879,22,119,121
880,33,287,305
881,40,120,121
882,40,234,235
883,40,152,155
884,40,195,201
885,41,2155,2168
886,41,1601,1682
887,41,1418,1496
888,41,824,886
889,41,770,823
890,41,863,929
891,41,1185,1252
892,41,1265,1332
893,41,1569,1641
894,41,437,446
895,41,1448,1523
896,41,742,789
897,41,869,925
898,41,773,821
899,41,1343,1439
900,41,1274,1372
901,41,743,791
902,41,1203,1301
903,41,1184,1260
904,41,1261,1350
905,41,1565,1652
906,41,1649,1731
907,41,1290,1426
908,41,1414,1508
909,41,1225,1342
910,41,1479,1579
911,41,1293,1430
912,41,1415,1536
913,41,2361,2383
914,41,2405,2437
915,41,2390,2421
916,41,2443,2486
917,47,368,395
918,47,373,395
919,47,371,395
920,47,367,395
921,47,364,395
922,47,363,395
923,47,370,395
924,47,358,395
925,47,361,395
926,47,353,395
927,47,354,395
928,47,356,395
929,47,366,395
930,47,350,395
931,47,352,395
932,47,355,395
933,47,369,395
934,47,362,395
935,47,351,395
